web-scraper-order,web-scraper-start-url,chiens,chiens-href,nom,prix,adresse,image_lien-src
"1740283909-38","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/spitz-pomperanian-nain-1592536","Spitz pomperanian nain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2578678_uploaded_image1_1598473259.jpg"
"1740283912-39","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/doberman-lignee-europeenne-1592645","Doberman lignée européenne","Prix sur demande","Fann-Point E-Amitié, Dakar, Sénégal","https://images.coinafrique.com/thumb_3495193_uploaded_image1_1640255635.jpg"
"1740283914-40","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pekinois-1592664","Pékinois","Prix sur demande","Fann-Point E-Amitié, Dakar, Sénégal","https://images.coinafrique.com/thumb_3498824_uploaded_image1_1640602505.jpg"
"1740283916-41","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/doberman-1621541","Doberman","400 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1621541_uploaded_image1_1581266142.61.png"
"1740283919-42","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-belge-malinois-1628361","Chiot berger belge malinois","175 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_1628361_uploaded_image1_1581360490.25.png"
"1740283921-43","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/cani-corso-1716117","Cani corso","600 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1716117_uploaded_image1_1582837304.5.png"
"1740283923-44","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-bichon-1733519","Chien Bichon","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_4124637_uploaded_image1_1678229133.jpg"
"1740283926-45","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/doberman-pure-souche-1803179","Doberman pure souche","350 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1803179_uploaded_image1_1584379219.84.png"
"1740283928-46","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-1840570","Chien Dogue Allemand","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1840570_uploaded_image2_1585048708.25.png"
"1740283930-47","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/caniches-1840583","Caniches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg"
"1740283933-48","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-1862107","Chiots Spitz nain pomeranian","Prix sur demande","Fann-Point E-Amitié, Dakar, Sénégal","https://images.coinafrique.com/thumb_4105901_uploaded_image1_1677094228.jpg"
"1740283935-49","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-shiba-inu-1862112","Chiots Shiba inu","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862112_uploaded_image1_1585456241.69.png"
"1740283937-50","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-pure-race-1862142","Chiots pékinois pure race","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862142_uploaded_image1_1585459853.32.png"
"1740283946-51","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-dogue-allemand-1862148","Chiots Dogue allemand","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862148_uploaded_image1_1585459981.26.png"
"1740283948-52","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/femelle-dogue-de-bordeaux-1862155","Femelle dogue de Bordeaux","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862155_uploaded_image1_1585460203.94.png"
"1740283950-53","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/bulldog-anglais-1862159","Bulldog anglais","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2593026_uploaded_image1_1599001771.jpg"
"1740283953-54","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/labrador-1869479","Labrador","200 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg"
